N_cores	t_opt	t_unopt	s_opt	s_unopt
1	3.507	69.271	1	1
2	1.965	34.968	1.784732824	1.980982613
3	1.302	23.605	2.693548387	2.934590129
4	1.056	17.505	3.321022727	3.957212225
5	0.898	14.141	3.905345212	4.898592745
6	0.805	11.955	4.356521739	5.794312003
7	0.752	10.445	4.66356383	6.631977022
8	0.737	9.2	4.758480326	7.529456522
9	0.716	8.143	4.898044693	8.50681567
10	0.69	7.541	5.082608696	9.185916987
11	0.669	6.956	5.242152466	9.958453134
12	0.675	6.413	5.195555556	10.80165289
13	0.629	6.036	5.575516693	11.47630881
14	0.695	5.721	5.046043165	12.10819787
15	0.655	5.287	5.354198473	13.10213732
16	0.652	5.043	5.378834356	13.7360698
17	0.713	4.757	4.918653576	14.56190877
18	0.695	4.446	5.046043165	15.58052182
19	0.719	4.309	4.877607789	16.07588768
20	0.71	4.038	4.93943662	17.15477959
21	0.734	3.934	4.777929155	17.60828673
22	0.752	3.826	4.66356383	18.10533194
23	0.781	3.67	4.490396927	18.87493188
24	0.848	3.753	4.135613208	18.45750067
