N_cores	N10	N50	N100	N200	N500	N1000
1	1.00	1.00	1.00	1.00	1	1
2	0.67	0.67	1.35	1.78	1.950262097	1.985146762
3	0.67	0.67	1.55	2.69	2.814548396	2.962398407
4	0.67	0.72	1.77	3.32	3.79765171	3.934732873
5	0.67	0.58	1.75	3.91	4.544873605	4.876994169
6	0.67	0.60	1.77	4.36	5.444237682	5.806956978
7	0.50	0.55	1.74	4.66	6.257485903	6.757824705
8	0.67	0.58	1.79	4.76	7.096807983	7.729109124
9	0.67	0.55	1.61	4.90	7.509129091	8.587229153
10	0.67	0.47	1.58	5.08	8.514385872	9.527782672
11	0.50	0.50	1.56	5.24	9.006436717	10.22860672
12	0.50	0.45	1.55	5.20	9.714663044	11.09763017
13	0.50	0.49	1.42	5.58	10.29502559	11.96721952
14	0.50	0.49	1.52	5.05	10.82666106	12.81970825
15	0.50	0.39	1.53	5.35	11.6973194	13.62699754
16	0.50	0.43	1.36	5.38	11.66446176	14.4572534
17	0.40	0.40	1.45	4.92	12.90516291	15.1945916
18	0.40	0.40	1.28	5.05	12.20411452	16.0513013
19	0.50	0.40	1.35	4.88	13.2192442	16.57426189
20	0.40	0.41	1.31	4.94	13.8462945	17.34352153
21	0.50	0.37	1.32	4.78	14.87164972	18.01497247
22	0.40	0.42	1.27	4.66	16.30100038	18.84693846
23	0.40	0.39	1.23	4.49	15.00163151	19.15563104
24	0.17	0.39	1.02	4.14	15.59784321	19.67867617
